time	x1	x2	x3	v1	v2	a
0	0.01	0.0	0.0	0.0	6.7038e-7	4.4985e-11
100	0.01	6.7038e-5	0.0	-4.498196766844172e-9	6.703498449885145e-7	4.498196766844172e-11
200	0.009999550180323316	0.00013407298449885145	0.0	-8.99588860500794e-9	6.702895403790846e-7	4.497691838163767e-11
300	0.009998650591462816	0.00020110193853675992	0.0	-1.349287389582895e-8	6.701990929280729e-7	4.496985290821012e-11
400	0.009997301304073234	0.0002681218478295672	0.0	-1.798895110635761e-8	6.70078510733638e-7	4.4960772105286584e-11
500	0.009995502408962598	0.000335129698902931	0.0	-2.2483918798194197e-8	6.69927803234654e-7	4.494967691836586e-11
600	0.009993254017082778	0.0004021224792263964	0.0	-2.697757563631223e-8	6.697469812095711e-7	4.493656838118032e-11
700	0.009990556259519147	0.0004690971773473535	0.0	-3.146972039786774e-8	6.69536056775221e-7	4.4921447615555087e-11
800	0.00998740928747936	0.0005360507830248756	0.0	-3.596015198099408e-8	6.692950433855653e-7	4.4904315831263386e-11
900	0.009983813272281261	0.0006029802873634321	0.0	-4.044866941358198e-8	6.690239558303872e-7	4.488517432587898e-11
1000	0.009979768405339902	0.0006698826829464709	0.0	-4.4935071862044453e-8	6.687228102339277e-7	4.4864024484624736e-11
1100	0.009975274898153698	0.0007367549639698636	0.0	-4.941915864006626e-8	6.683916240534656e-7	4.4840867780218105e-11
1200	0.009970332982289692	0.0008035941263752101	0.0	-5.390072921733756e-8	6.680304160778415e-7	4.481570577271303e-11
1300	0.009964942909367959	0.0008703971679829942	0.0	-5.837958322827147e-8	6.676392064259266e-7	4.4788540109339084e-11
1400	0.009959104951045131	0.0009371610886255868	0.0	-6.285552048070512e-8	6.672180165450357e-7	4.4759372524336434e-11
1500	0.009952819398997061	0.0010038828902800903	0.0	-6.732834096458395e-8	6.667668692092855e-7	4.472820483878832e-11
1600	0.009946086564900602	0.0010705595772010188	0.0	-7.179784486062895e-8	6.662857885178974e-7	4.469503896044991e-11
1700	0.00993890678041454	0.0011371881560528086	0.0	-7.626383254898634e-8	6.657747998934457e-7	4.46598768835739e-11
1800	0.009931280397159641	0.0012037656360421533	0.0	-8.072610461785966e-8	6.652339300800511e-7	4.462272068873317e-11
1900	0.009923207786697854	0.0012702890290501583	0.0	-8.518446187212365e-8	6.646632071415202e-7	4.4583572542639927e-11
